Ano Fase,Fase Estat,Chamada Divulgação,Instituição Beneficiária Macro,UF Instituição Benef Macro,Grande Área,Área,Qtd Propostas,Total Geral (R$),,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontifícia Universidade Católica de Minas Gerais,MG,Ciências Exatas e da Terra,Geociências,1,6000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontifícia Universidade Católica de Minas Gerais,MG,Ciências Sociais Aplicadas,Direito,1,3700,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontifícia Universidade Católica de Minas Gerais,MG,Engenharias,Engenharia Mecânica,1,4200,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontificia Universidade Catolica de Sao Paulo,SP,Ciências Humanas,Psicologia,1,5000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontificia Universidade Catolica de Sao Paulo,SP,Engenharias,Engenharia Nuclear,1,4500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontificia Universidade Catolica de Sao Paulo,SP,Lingüística, Letras e Artes,Artes,1,3000,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontifícia Universidade Católica do Paraná,PR,Ciências Humanas,Ciência Política,1,5000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontificia Universidade Catolica do Rio de Janeiro,RJ,Ciências Exatas e da Terra,Física,2,7500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontificia Universidade Catolica do Rio de Janeiro,RJ,Ciências Humanas,Ciência Política,1,4500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontificia Universidade Catolica do Rio de Janeiro,RJ,Ciências Sociais Aplicadas,Serviço Social,1,4000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontificia Universidade Catolica do Rio de Janeiro,RJ,Engenharias,Engenharia Elétrica,1,5300,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontificia Universidade Catolica do Rio de Janeiro,RJ,Lingüística, Letras e Artes,Letras,1,3000,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontifícia Universidade Católica do Rio Grande do Sul,RS,Ciências Biológicas,Farmacologia,1,1560,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontifícia Universidade Católica do Rio Grande do Sul,RS,Ciências Biológicas,Imunologia,1,3500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontifícia Universidade Católica do Rio Grande do Sul,RS,Ciências da Saúde,Medicina,2,7922,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Pontifícia Universidade Católica do Rio Grande do Sul,RS,Ciências Exatas e da Terra,Ciência da Computação,1,4600,,
