Ano_Fase;Fase Estat;Chamada Divulgação;Instituição_Beneficiária;UF_Instituição_Benef;Grande Área;Área;Qtd_Propostas;Total_Geral
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontifícia Universidade Católica de Minas Gerais;MG;Ciências Sociais Aplicadas;Direito;1;3.700
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontifícia Universidade Católica de Minas Gerais;MG;Engenharias;Engenharia Mecânica;1;4.200
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontificia Universidade Catolica de Sao Paulo;SP;Ciências Humanas;Psicologia;1;5.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontificia Universidade Catolica de Sao Paulo;SP;Engenharias;Engenharia Nuclear;1;4.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontificia Universidade Catolica de Sao Paulo;SP;Lingüística, Letras e Artes;Artes;1;3.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontifícia Universidade Católica do Paraná;PR;Ciências Humanas;Ciência Política;1;5.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontificia Universidade Catolica do Rio de Janeiro;RJ;Ciências Exatas e da Terra;Física;2;7.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontificia Universidade Catolica do Rio de Janeiro;RJ;Ciências Humanas;Ciência Política;1;4.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontificia Universidade Catolica do Rio de Janeiro;RJ;Ciências Sociais Aplicadas;Serviço Social;1;4.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontificia Universidade Catolica do Rio de Janeiro;RJ;Engenharias;Engenharia Elétrica;1;5.300
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontificia Universidade Catolica do Rio de Janeiro;RJ;Lingüística, Letras e Artes;Letras;1;3.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontifícia Universidade Católica do Rio Grande do Sul;RS;Ciências Biológicas;Farmacologia;1;1.560
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontifícia Universidade Católica do Rio Grande do Sul;RS;Ciências Biológicas;Imunologia;1;3.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontifícia Universidade Católica do Rio Grande do Sul;RS;Ciências da Saúde;Medicina;2;7.922
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Pontifícia Universidade Católica do Rio Grande do Sul;RS;Ciências Exatas e da Terra;Ciência da Computação;1;4.600
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Secretaria de Meio Ambiente e Desenvolvimento Sustentavel;MG;Engenharias;Engenharia Nuclear;1;2.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Sociedade Brasileira de Estudos Interdisciplinares da Comunicacao;SP;Ciências Sociais Aplicadas;Ciência da Informação;1;4.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Sociedade Brasileira de Microondas e Optoeletronica;SP;Engenharias;Engenharia Elétrica;1;4.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade Candido Mendes;RJ;Engenharias;Engenharia de Produção;1;1.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade Catolica de Pelotas;RS;Ciências Exatas e da Terra;Ciência da Computação;1;5.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade Catolica de Santos;SP;Ciências Exatas e da Terra;Ciência da Computação;1;5.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade Catolica de Santos;SP;Engenharias;Engenharia Elétrica;1;3.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Brasilia;DF;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;1;3.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Brasilia;DF;Ciências da Saúde;Nutrição;1;3.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Brasilia;DF;Ciências Exatas e da Terra;Ciência da Computação;1;7.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Brasilia;DF;Ciências Exatas e da Terra;Física;1;4.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Brasilia;DF;Ciências Exatas e da Terra;Geociências;1;4.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Brasilia;DF;Ciências Exatas e da Terra;Química;1;2.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Brasilia;DF;Ciências Sociais Aplicadas;Economia;1;4.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Brasilia;DF;Engenharias;Engenharia Aeroespacial;1;3.100
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Brasilia;DF;Engenharias;Engenharia Biomédica;2;7.800
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Brasilia;DF;Engenharias;Engenharia Elétrica;2;8.135
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Brasilia;DF;Lingüística, Letras e Artes;Lingüística;1;2.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Caxias do Sul;RS;Ciências Exatas e da Terra;Astronomia;1;4.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Caxias do Sul;RS;Ciências Exatas e da Terra;Química;1;4.900
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Fortaleza;CE;Ciências Exatas e da Terra;Ciência da Computação;1;4.900
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Franca;SP;Ciências da Saúde;Farmácia;1;5.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Passo Fundo;RS;Ciências da Saúde;Odontologia;1;5.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências Agrárias;Agronomia;1;2.024
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências Agrárias;Medicina Veterinária;1;5.500
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências Biológicas;Bioquímica;1;3.000
2006;Atendimento;Apoio à Participação em Eventos Científicos no Exterior - AVG;Universidade de Sao Paulo;SP;Ciências Biológicas;Fisiologia;1;1.000
